Year,Jursidiction,Beach ID,Beach Name,County,WaterbodyName,WaterbodyType,IsBeach ActBeach?,Tier,IsHistorical?,BeachLength (MI),IsDormant?,BeachAccess,BeachOwner,# ofdays inSwimSeason (SS),# ofhours inSSDay,SSStartDate,SSEndDate,SSMonitoringFrequency,MonitoringReportingFrequency[to EPA],AdvisoryReportingFrequency[to EPA],# ofActions,EarliestActionDate,LatestActionDate,# ofactions ofLT 1 dayduration,# ofactions of1 to LT 2 daysduration,# ofactions of2 to LT 3 daysduration,# ofactions of3 to LT 8 daysduration,# ofactions of8 to 30 daysduration,# ofactions ofGT 30 daysduration
2023,CA,CA279698,Long Beach - B-9,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,3.18,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,35,19-JAN-2023 12:00AM,29-DEC-2023 12:00AM,,23,1,9,,2
2023,CA,CA643858,Malibu Lagoon State Beach - SMB-MC-2,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.55,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,8,07-FEB-2023 12:00AM,05-JUL-2023 12:00AM,,,2,1,5,
2023,CA,CA641566,Manhattan Beach - DPH 113B,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,2.08,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,1,09-MAY-2023 12:00AM,10-MAY-2023 12:00AM,,1,,,,
2023,CA,CA034301,Marina Del Rey Beach - Mothers Beach - MDRH-3,LOS ANGELES,Pacific Ocean,Still Water,Y,1,Y,.23,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,5,20-JAN-2023 12:00AM,25-SEP-2023 12:00AM,,,,2,2,1
2023,CA,CA149281,Paradise Cove - SMB-1-6,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.31,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,11-APR-2023 12:00AM,15-JUN-2023 12:00AM,,,1,1,,
2023,CA,CA150395,Puerco Beach - SMB-1-12,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,1.11,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,3,11-APR-2023 12:00AM,06-JUN-2023 12:00AM,,,1,1,1,
2023,CA,CA774663,Redondo Beach - SMB-6-03,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,2.51,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,1,07-FEB-2023 12:00AM,08-FEB-2023 12:00AM,,1,,,,
2023,CA,CA735620,Santa Monica State Beach - DPH 104B,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,2.79,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,10,20-JAN-2023 12:00AM,25-MAY-2023 12:00AM,,1,3,2,4,
2023,CA,CA738498,Surfrider Beach - DPH 002,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.11,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,1,13-JUN-2023 12:00AM,15-JUN-2023 12:00AM,,,1,,,
2023,CA,CA000886,Topanga State Beach - SMB-1-18,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.42,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,6,17-MAY-2023 12:00AM,12-AUG-2023 12:00AM,,2,,3,,1
2023,CA,CA704955,Venice City Beach - SMB-3-6,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,2.57,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,25-JAN-2023 12:00AM,10-SEP-2023 12:00AM,,,,2,,
